eenheid_id;bouwnummer;straat;huisnummer;huisletter;huisnummertoevoeging;postcode;plaats;type_overzicht;cluster_naam;pand_id;bag_verblijfsobject;bag_nummeraanduiding;woningwaarderingstelsel;pandsoort;bouwjaar;klimaatbeheersing;woz_waarde;woz_peildatum;energielabel;energieprestatie_soort;energieprestatie_waarde;energieprestatie_begindatum;energieprestatie_einddatum;monument;gebruiksoppervlakte
3004625;39;Fascinatio Boulevard;1476;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940774;0502200000940775;ZEL;MGW;;;;;;;;;;;
3004626;40;Fascinatio Boulevard;1478;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2 hoek;Fascinatio 1466-1530 WON;0502100000940763;0502010000940776;0502200000940777;ZEL;MGW;;;;;;;;;;;
3004627;41;Fascinatio Boulevard;1480;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2 hoek;Fascinatio 1466-1530 WON;0502100000940763;0502010000940778;0502200000940779;ZEL;MGW;;;;;;;;;;;
3004628;42;Fascinatio Boulevard;1482;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940780;0502200000940781;ZEL;MGW;;;;;;;;;;;
3004629;43;Fascinatio Boulevard;1484;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940782;0502200000940783;ZEL;MGW;;;;;;;;;;;
3004630;44;Fascinatio Boulevard;1486;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940784;0502200000940785;ZEL;MGW;;;;;;;;;;;
3004631;45;Fascinatio Boulevard;1488;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940786;0502200000940787;ZEL;MGW;;;;;;;;;;;
3004632;46;Fascinatio Boulevard;1490;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940788;0502200000940789;ZEL;MGW;;;;;;;;;;;
3004633;47;Fascinatio Boulevard;1492;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940790;0502200000940791;ZEL;MGW;;;;;;;;;;;
3004634;48;Fascinatio Boulevard;1494;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940792;0502200000940793;ZEL;MGW;;;;;;;;;;;
3004635;49;Fascinatio Boulevard;1496;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2 hoek;Fascinatio 1466-1530 WON;0502100000940763;0502010000940794;0502200000940795;ZEL;MGW;;;;;;;;;;;
3004636;50;Fascinatio Boulevard;1498;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2 hoek;Fascinatio 1466-1530 WON;0502100000940763;0502010000940796;0502200000940797;ZEL;MGW;;;;;;;;;;;
3004637;51;Fascinatio Boulevard;1500;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940798;0502200000940799;ZEL;MGW;;;;;;;;;;;
3004638;52;Fascinatio Boulevard;1502;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940800;0502200000940801;ZEL;MGW;;;;;;;;;;;
3004639;53;Fascinatio Boulevard;1504;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940802;0502200000940803;ZEL;MGW;;;;;;;;;;;
3004640;54;Fascinatio Boulevard;1506;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940804;0502200000940805;ZEL;MGW;;;;;;;;;;;
3004641;55;Fascinatio Boulevard;1508;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940806;0502200000940807;ZEL;MGW;;;;;;;;;;;
3004642;56;Fascinatio Boulevard;1510;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940808;0502200000940809;ZEL;MGW;;;;;;;;;;;
3004643;57;Fascinatio Boulevard;1512;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940810;0502200000940811;ZEL;MGW;;;;;;;;;;;
3004644;58;Fascinatio Boulevard;1514;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2 hoek;Fascinatio 1466-1530 WON;0502100000940763;0502010000940812;0502200000940813;ZEL;MGW;;;;;;;;;;;
3004645;59;Fascinatio Boulevard;1516;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2 hoek;Fascinatio 1466-1530 WON;0502100000940763;0502010000940814;0502200000940815;ZEL;MGW;;;;;;;;;;;
3004646;60;Fascinatio Boulevard;1518;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940816;0502200000940817;ZEL;MGW;;;;;;;;;;;
3004647;61;Fascinatio Boulevard;1520;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940818;0502200000940819;ZEL;MGW;;;;;;;;;;;
3004648;62;Fascinatio Boulevard;1522;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940820;0502200000940821;ZEL;MGW;;;;;;;;;;;
3004649;63;Fascinatio Boulevard;1524;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940822;0502200000940823;ZEL;MGW;;;;;;;;;;;
3004650;64;Fascinatio Boulevard;1526;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940824;0502200000940825;ZEL;MGW;;;;;;;;;;;
3004651;65;Fascinatio Boulevard;1528;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940826;0502200000940827;ZEL;MGW;;;;;;;;;;;
3004652;66;Fascinatio Boulevard;1530;;;2909 VD;CAPELLE AAN DEN IJSSEL;B2;Fascinatio 1466-1530 WON;0502100000940763;0502010000940828;0502200000940829;ZEL;MGW;;;;;;;;;;;
3004653;67;Fascinatio Boulevard;1532;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-kop;Fascinatio 1532-1664 WON;0502100000940864;0502010000940865;0502200000940866;ZEL;EGW;;;;;;;;;;;
3004654;68;Fascinatio Boulevard;1534;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-sp;Fascinatio 1532-1664 WON;0502100000940864;0502010000940867;0502200000940868;ZEL;EGW;;;;;;;;;;;
3004655;69;Fascinatio Boulevard;1536;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1;Fascinatio 1532-1664 WON;0502100000940864;0502010000940869;0502200000940870;ZEL;EGW;;;;;;;;;;;
3004656;70;Fascinatio Boulevard;1538;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-sp;Fascinatio 1532-1664 WON;0502100000940864;0502010000940871;0502200000940872;ZEL;EGW;;;;;;;;;;;
3004657;71;Fascinatio Boulevard;1540;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1;Fascinatio 1532-1664 WON;0502100000940864;0502010000940873;0502200000940874;ZEL;EGW;;;;;;;;;;;
3004658;72;Fascinatio Boulevard;1542;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-sp;Fascinatio 1532-1664 WON;0502100000940864;0502010000940875;0502200000940876;ZEL;EGW;;;;;;;;;;;
3004659;73;Fascinatio Boulevard;1544;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1;Fascinatio 1532-1664 WON;0502100000940864;0502010000940877;0502200000940878;ZEL;EGW;;;;;;;;;;;
3004660;74;Fascinatio Boulevard;1546;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-sp;Fascinatio 1532-1664 WON;0502100000940864;0502010000940879;0502200000940880;ZEL;EGW;;;;;;;;;;;
3004661;75;Fascinatio Boulevard;1548;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940881;0502200000940882;ZEL;EGW;;;;;;;;;;;
3004662;76;Fascinatio Boulevard;1550;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940883;0502200000940884;ZEL;EGW;;;;;;;;;;;
3004663;77;Fascinatio Boulevard;1552;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin kop;Fascinatio 1532-1664 WON;0502100000940864;0502010000940885;0502200000940886;ZEL;EGW;;;;;;;;;;;
3004664;78;Fascinatio Boulevard;1554;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-kop;Fascinatio 1532-1664 WON;0502100000940864;0502010000940887;0502200000940888;ZEL;EGW;;;;;;;;;;;
3004665;79;Fascinatio Boulevard;1556;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940889;0502200000940890;ZEL;EGW;;;;;;;;;;;
3004666;80;Fascinatio Boulevard;1558;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1;Fascinatio 1532-1664 WON;0502100000940864;0502010000940891;0502200000940892;ZEL;EGW;;;;;;;;;;;
3004667;81;Fascinatio Boulevard;1560;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940893;0502200000940894;ZEL;EGW;;;;;;;;;;;
3004668;82;Fascinatio Boulevard;1562;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1;Fascinatio 1532-1664 WON;0502100000940864;0502010000940895;0502200000940896;ZEL;EGW;;;;;;;;;;;
3004669;83;Fascinatio Boulevard;1564;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940897;0502200000940898;ZEL;EGW;;;;;;;;;;;
3004670;84;Fascinatio Boulevard;1566;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1;Fascinatio 1532-1664 WON;0502100000940864;0502010000940899;0502200000940900;ZEL;EGW;;;;;;;;;;;
3004671;85;Fascinatio Boulevard;1568;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940901;0502200000940902;ZEL;EGW;;;;;;;;;;;
3004672;86;Fascinatio Boulevard;1570;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-hoek;Fascinatio 1532-1664 WON;0502100000940864;0502010000940903;0502200000940904;ZEL;EGW;;;;;;;;;;;
3004673;87;Fascinatio Boulevard;1572;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940905;0502200000940906;ZEL;EGW;;;;;;;;;;;
3004674;88;Fascinatio Boulevard;1574;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940907;0502200000940908;ZEL;EGW;;;;;;;;;;;
3004675;89;Fascinatio Boulevard;1576;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin kop;Fascinatio 1532-1664 WON;0502100000940864;0502010000940909;0502200000940910;ZEL;EGW;;;;;;;;;;;
3004676;90;Fascinatio Boulevard;1578;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-kop;Fascinatio 1532-1664 WON;0502100000940864;0502010000940911;0502200000940912;ZEL;EGW;;;;;;;;;;;
3004677;91;Fascinatio Boulevard;1580;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940913;0502200000940914;ZEL;EGW;;;;;;;;;;;
3004678;92;Fascinatio Boulevard;1582;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1;Fascinatio 1532-1664 WON;0502100000940864;0502010000940915;0502200000940916;ZEL;EGW;;;;;;;;;;;
3004679;93;Fascinatio Boulevard;1584;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940917;0502200000940918;ZEL;EGW;;;;;;;;;;;
3004680;94;Fascinatio Boulevard;1586;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1;Fascinatio 1532-1664 WON;0502100000940864;0502010000940919;0502200000940920;ZEL;EGW;;;;;;;;;;;
3004681;95;Fascinatio Boulevard;1588;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940921;0502200000940922;ZEL;EGW;;;;;;;;;;;
3004682;96;Fascinatio Boulevard;1590;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1;Fascinatio 1532-1664 WON;0502100000940864;0502010000940923;0502200000940924;ZEL;EGW;;;;;;;;;;;
3004683;97;Fascinatio Boulevard;1592;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940925;0502200000940926;ZEL;EGW;;;;;;;;;;;
3004684;98;Fascinatio Boulevard;1594;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-hoek;Fascinatio 1532-1664 WON;0502100000940864;0502010000940927;0502200000940928;ZEL;EGW;;;;;;;;;;;
3004685;99;Fascinatio Boulevard;1596;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940929;0502200000940930;ZEL;EGW;;;;;;;;;;;
3004686;100;Fascinatio Boulevard;1598;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940931;0502200000940932;ZEL;EGW;;;;;;;;;;;
3004687;101;Fascinatio Boulevard;1600;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin kop;Fascinatio 1532-1664 WON;0502100000940864;0502010000940933;0502200000940934;ZEL;EGW;;;;;;;;;;;
3004688;102;Fascinatio Boulevard;1602;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-kop;Fascinatio 1532-1664 WON;0502100000940864;0502010000940935;0502200000940936;ZEL;EGW;;;;;;;;;;;
3004689;103;Fascinatio Boulevard;1604;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940937;0502200000940938;ZEL;EGW;;;;;;;;;;;
3004690;104;Fascinatio Boulevard;1606;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1;Fascinatio 1532-1664 WON;0502100000940864;0502010000940939;0502200000940940;ZEL;EGW;;;;;;;;;;;
3004691;105;Fascinatio Boulevard;1608;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940941;0502200000940942;ZEL;EGW;;;;;;;;;;;
3004692;106;Fascinatio Boulevard;1610;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1;Fascinatio 1532-1664 WON;0502100000940864;0502010000940943;0502200000940944;ZEL;EGW;;;;;;;;;;;
3004693;107;Fascinatio Boulevard;1612;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940945;0502200000940946;ZEL;EGW;;;;;;;;;;;
3004694;108;Fascinatio Boulevard;1614;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1;Fascinatio 1532-1664 WON;0502100000940864;0502010000940947;0502200000940948;ZEL;EGW;;;;;;;;;;;
3004695;109;Fascinatio Boulevard;1616;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940949;0502200000940950;ZEL;EGW;;;;;;;;;;;
3004696;110;Fascinatio Boulevard;1618;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-hoek;Fascinatio 1532-1664 WON;0502100000940864;0502010000940951;0502200000940952;ZEL;EGW;;;;;;;;;;;
3004697;111;Fascinatio Boulevard;1620;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940953;0502200000940954;ZEL;EGW;;;;;;;;;;;
3004698;112;Fascinatio Boulevard;1622;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940955;0502200000940956;ZEL;EGW;;;;;;;;;;;
3004699;113;Fascinatio Boulevard;1624;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin kop;Fascinatio 1532-1664 WON;0502100000940864;0502010000940957;0502200000940958;ZEL;EGW;;;;;;;;;;;
3004700;114;Fascinatio Boulevard;1626;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-hoek;Fascinatio 1532-1664 WON;0502100000940864;0502010000940959;0502200000940960;ZEL;EGW;;;;;;;;;;;
3004701;115;Fascinatio Boulevard;1628;;;2909 VD;CAPELLE AAN DEN IJSSEL;B1-schuin;Fascinatio 1532-1664 WON;0502100000940864;0502010000940961;0502200000940962;ZEL;EGW;;;;;;;;;;;
